,0,1,2,3,4,5,6,7,8,9,10
3, Modern Townhouse Close to UMB, Baltimore,70,3  , 2  , 2  , 2 baths,Wifi , Kitchen , Heating,None
4, Entire private Guest house long term discounts, Owings Mills,62,2  , Studio , 1  , 1 bath,Wifi , Free parking , Kitchen , Heating
5, Private Suite W  Private Bath and Private Entrance, Baltimore,29,2  , 1  , 1  , 1 bath,Wifi , Free parking , Heating,None
6, 1654 Ralworth Apt B, Baltimore,55,4  , 2  , 0  , 1 bath,Free parking , Kitchen,None,None
7, Charming Studio near Hopkins, Baltimore,48,2  , Studio , 1  , 1 bath,Wifi , Kitchen , Heating,None
8, Charm City Treasure, Baltimore,40,2  , Studio , 1  , 1 bath,Wifi , Free parking , Kitchen , Heating
9, Relaxing Home in Catonsville; Bedroom #2 of 3., Catonsville,34,1  , 3  , 3  , 2.5 shared baths,Wifi , Free parking , Kitchen , Heating
10, Cozy private room in a safe quiet neighborhood, Baltimore,26,2  , 1  , 1  , 1 shared bath,Wifi , Free parking , Kitchen , Heating
11, Federal Hill  Studio, Baltimore,65,3  , Studio , 0  , 1 bath,Wifi , Free parking , Kitchen , Heating
12, Charming House near Farmer’s Market Patio View, Baltimore,31,2  , 1  , 1  , 1 shared bath,Wifi , Free parking , Kitchen , Heating
13, Efficiency Loft Apartment in Convenient Location, Woodlawn,28,1  , 1  , 0  , 1 bath,Wifi , Kitchen , Heating,None
14, Victoria’s Inn, Nottingham,30,1  , 1  , 1  , 1 shared bath,Wifi , Free parking , Kitchen , Heating
15, Exquisite! Roof Deck! PRIVATE Parking! Sleeps 9, Baltimore,151,9  , 3  , 3  , 3 baths,Wifi , Free parking , Kitchen , Heating
16, Industrial Chic Apt in Fed Hill   Free Parking, Baltimore,88,6  , 2  , 2  , 1.5 baths,Wifi , Free parking , Kitchen , Heating
17, Cozy and Luxury room near BWI and Fort Meade, Hanover,35,2  , 1  , 1  , 1 shared bath,Wifi , Free parking , Kitchen , Heating
18, Federal hill  Durst st. efficiency  studio, Baltimore,56,4  , 2  , 0  , 1 bath,Wifi , Kitchen , Heating,None
19, The Spot Close To EVERYTHING!, Garrison,34,2  , 1  , 1  , 1 shared bath,Wifi , Free parking , Kitchen , Heating
0, Private bedrooms in Baltimore near JH, Baltimore,27,2  , 1  , 1  , 1.5 shared baths,Wifi , Heating,None,None
1, Basement BR with office   WOMEN only, Owings Mills,22,1  , Studio , 1  , 1.5 shared baths,Wifi , Kitchen , Heating,None
