,0,1,2,3,4,5,6,7,8,9,10,11,12
17, (MGH2) NEW! 1Bedroom  Beacon Hill!,Entire apartment, Beacon Hill,110,2  , 1  , 1  , 1 bath,Wifi , Air conditioning , Kitchen , Dishwasher,https://airbnb.com/rooms/45239079?previous_page_section_name=1000&federated_search_id=9da57844-cddc-4528-8bca-38e76a18c832
18, (X9) Back Bay  Simple Little Studio,Entire apartment, Back Bay,84,2  , Studio , 2  , 1 bath,Wifi , Air conditioning , Kitchen , Washer,https://airbnb.com/rooms/33250560?previous_page_section_name=1000&federated_search_id=9da57844-cddc-4528-8bca-38e76a18c832
19, NEAR HARVARD BUSINESS SCHOOL WITH MEMORY BED 2,Private room, Allston-Brighton,42,2  , 1  , 1  , 1 shared bath,Wifi , Air conditioning , Self check-in,None,https://airbnb.com/rooms/34212295?previous_page_section_name=1000&federated_search_id=9da57844-cddc-4528-8bca-38e76a18c832
0, Cozy Room! Amazing Location! Great Price! #3,Private room, Everett,48,2  , 1  , 1  , 1 shared bath,Wifi , Self check-in , Air conditioning , Free parking,https://airbnb.com/rooms/37364744?previous_page_section_name=1000&federated_search_id=70a637d3-02b6-4e5f-911a-94acc4f5c681
1, Charming Studio on Boston's iconic Newbury St  #8,Entire apartment, Back Bay,76,2  , 1  , 1  , 1 bath,Wifi , Self check-in , Air conditioning , Dryer,https://airbnb.com/rooms/7475573?previous_page_section_name=1000&federated_search_id=70a637d3-02b6-4e5f-911a-94acc4f5c681
2, The Modica Estates #5,Private room, Cambridge,40,1  , 1  , 1  , 1 shared bath,Wifi , Air conditioning , Dryer , Washer,https://airbnb.com/rooms/29034417?previous_page_section_name=1000&federated_search_id=70a637d3-02b6-4e5f-911a-94acc4f5c681
3, Dog Friendly   10 mins from Downtown Boston,Entire apartment, Allston-Brighton,61,2  , 1  , 1  , 1 bath,Wifi , Self check-in , Pets allowed , Air conditioning,https://airbnb.com/rooms/46388603?previous_page_section_name=1000&federated_search_id=70a637d3-02b6-4e5f-911a-94acc4f5c681
4, FOUND Boston Common   Queen Room,Room, boutique hotel Downtown,93,2  , 1  , 1  , 1 private bath,Wifi , Air conditioning , Dryer , Washer,https://airbnb.com/rooms/45349044?previous_page_section_name=1000&federated_search_id=70a637d3-02b6-4e5f-911a-94acc4f5c681
5, R9   large private bedroom w  park overview,Private room, Cambridge,34,2  , 1  , 1  , 1 shared bath,Wifi , Self check-in , Air conditioning , Dryer,https://airbnb.com/rooms/23308507?previous_page_section_name=1000&federated_search_id=70a637d3-02b6-4e5f-911a-94acc4f5c681
6, keyless private room near MIT Central Sq 3,Private room, Cambridge,45,4  , 1  , 2  , 2 shared baths,Wifi , Air conditioning , Kitchen,None,https://airbnb.com/rooms/33245987?previous_page_section_name=1000&federated_search_id=70a637d3-02b6-4e5f-911a-94acc4f5c681
7, Staypineapple Boston  Back Bay King,Room, boutique hotel South End,109,2  , 1  , 1  , 1 private bath,Elevator , Wifi , Pets allowed , Air conditioning,https://airbnb.com/rooms/36237250?previous_page_section_name=1000&federated_search_id=70a637d3-02b6-4e5f-911a-94acc4f5c681
8, Huge Stylish Studio in Theatre District   Evonify,Entire apartment, Chinatown,60,4  , 1  , 2  , 1 bath,Wifi , Self check-in , Pets allowed , Air conditioning,https://airbnb.com/rooms/45802196?previous_page_section_name=1000&federated_search_id=70a637d3-02b6-4e5f-911a-94acc4f5c681
9, Downtown Crossing ARTlab  1 Bed Apt  Boston,Entire apartment, Downtown,100,3  , 1  , 1  , 1 bath,Wifi , Pets allowed , Air conditioning , Dryer,https://airbnb.com/rooms/45812606?previous_page_section_name=1000&federated_search_id=70a637d3-02b6-4e5f-911a-94acc4f5c681
10, 15min T to Downtown  Walk to airport & subway,Private room, East Boston,39,2  , 1  , 1  , 1 shared bath,Wifi , Self check-in , Air conditioning , Dishwasher,https://airbnb.com/rooms/29134558?previous_page_section_name=1000&federated_search_id=70a637d3-02b6-4e5f-911a-94acc4f5c681
11, (104) Back Bay Studio   Prime Location  St Botolph,Entire apartment, Back Bay,75,2  , 1  , 1  , 1 bath,Wifi , Self check-in , Pets allowed , Air conditioning,https://airbnb.com/rooms/20635474?previous_page_section_name=1000&federated_search_id=70a637d3-02b6-4e5f-911a-94acc4f5c681
12, Quaint Cute Historic Charles Studio #9,Entire apartment, Beacon Hill,85,2  , 1  , 1  , 1 bath,Elevator , Wifi , Air conditioning , Dryer,https://airbnb.com/rooms/19308245?previous_page_section_name=1000&federated_search_id=70a637d3-02b6-4e5f-911a-94acc4f5c681
13, Charming & Stylish Studio on Beacon Hill #15,Entire apartment, Beacon Hill,78,2  , 1  , 1  , 1 bath,Wifi , Self check-in , Dryer , Washer,https://airbnb.com/rooms/7837202?previous_page_section_name=1000&federated_search_id=70a637d3-02b6-4e5f-911a-94acc4f5c681
14, (R2) Simple Beacon Hill  MGH,Entire apartment, Beacon Hill,94,2  , 1  , 1  , 1 bath,Wifi , Air conditioning , Dishwasher , Kitchen,https://airbnb.com/rooms/45239136?previous_page_section_name=1000&federated_search_id=70a637d3-02b6-4e5f-911a-94acc4f5c681
15, WALK to HARVARD&MIT with MEMORY BED 6,Private room, Cambridge,42,2  , 1  , 1  , 2 shared baths,Wifi , Self check-in , Air conditioning,None,https://airbnb.com/rooms/19346436?previous_page_section_name=1000&federated_search_id=70a637d3-02b6-4e5f-911a-94acc4f5c681
16,   Bright  Sunny & Clean   Professionally Cleaned!,Private room, East Boston,44,2  , 1  , 1  , 2.5 shared baths,Wifi , Self check-in , Air conditioning , Kitchen,https://airbnb.com/rooms/22327142?previous_page_section_name=1000&federated_search_id=70a637d3-02b6-4e5f-911a-94acc4f5c681
17, Montgomery Place   One Bedroom,Entire apartment, South End,66,4  , 1  , 1  , 1 bath,Wifi , Self check-in , Air conditioning , Kitchen,https://airbnb.com/rooms/13378936?previous_page_section_name=1000&federated_search_id=70a637d3-02b6-4e5f-911a-94acc4f5c681
18,   Spacious & Modern   Professionally Sanitized  ,Private room, East Boston,50,2  , 1  , 1  , 2 shared baths,Wifi , Self check-in , Air conditioning , Dishwasher,https://airbnb.com/rooms/18290558?previous_page_section_name=1000&federated_search_id=70a637d3-02b6-4e5f-911a-94acc4f5c681
19, (X6) Simple Little Stay,Entire apartment, Back Bay,77,2  , Studio , 1  , 1 bath,Wifi , Self check-in , Air conditioning , Dryer,https://airbnb.com/rooms/46880344?previous_page_section_name=1000&federated_search_id=70a637d3-02b6-4e5f-911a-94acc4f5c681
0, 1BD Apt in Back Bay  Isolate by Charles River,Entire apartment, Back Bay,91,2  , Studio , 1  , 1 bath,Wifi , Pets allowed , Air conditioning , Kitchen,https://airbnb.com/rooms/45652037?previous_page_section_name=1000&federated_search_id=3e613314-bdcb-4ce8-944c-0e2a4c2c79c4
1, Luxury 1 Bedroom in Central Square  Steps to from MIT,Entire apartment, Cambridge,80,3  , 1  , 1  , 1 bath,Gym , Wifi , Pets allowed , Dryer,https://airbnb.com/rooms/18791077?previous_page_section_name=1000&federated_search_id=3e613314-bdcb-4ce8-944c-0e2a4c2c79c4
2, Luxury 2BR in Southend near SoWa   Evonify,Entire apartment, South End,68,6  , 2  , 3  , 1.5 baths,Wifi , Self check-in , Pets allowed , Air conditioning,https://airbnb.com/rooms/45439188?previous_page_section_name=1000&federated_search_id=3e613314-bdcb-4ce8-944c-0e2a4c2c79c4
3, Boho Back Bay Studio,Entire apartment, Back Bay,82,2  , Studio , 1  , 1 bath,Wifi , Self check-in , Air conditioning , Dryer,https://airbnb.com/rooms/47026618?previous_page_section_name=1000&federated_search_id=3e613314-bdcb-4ce8-944c-0e2a4c2c79c4
4, Cozy room! Amazing Location! Great Price! #4,Private room, Everett,49,2  , 1  , 1  , 1 shared bath,Wifi , Self check-in , Air conditioning , Free parking,https://airbnb.com/rooms/37365036?previous_page_section_name=1000&federated_search_id=3e613314-bdcb-4ce8-944c-0e2a4c2c79c4
5, Lovely Place in Jamaica Plain Room #2,Private room, Jamaica Plain,40,2  , 1  , 1  , 1 shared bath,Breakfast , Wifi , Free parking , Dryer,https://airbnb.com/rooms/42404818?previous_page_section_name=1000&federated_search_id=3e613314-bdcb-4ce8-944c-0e2a4c2c79c4
6, City Living with a View  Newbury St   #4,Entire apartment, Back Bay,66,2  , 1  , 1  , 1 bath,Wifi , Self check-in , Air conditioning , Dryer,https://airbnb.com/rooms/6882615?previous_page_section_name=1000&federated_search_id=3e613314-bdcb-4ce8-944c-0e2a4c2c79c4
7, Cozy & Affordable 2 Bedroom Guest Suite  Stoneham,Entire guest suite, Stoneham ,67,4  , 2  , 2  , 1 bath,Wifi , Air conditioning , Free parking , Dryer,https://airbnb.com/rooms/38583893?previous_page_section_name=1000&federated_search_id=3e613314-bdcb-4ce8-944c-0e2a4c2c79c4
8, 1880's BostonTownhouse With PrivateBath RedLine,Private room, Dorchester,43,2  , 1  , 1  , 1.5 baths,Breakfast , Wifi , Air conditioning , Dryer,https://airbnb.com/rooms/19117781?previous_page_section_name=1000&federated_search_id=3e613314-bdcb-4ce8-944c-0e2a4c2c79c4
9, Huge Stylish Studio in Theatre District   Evonify,Entire apartment, Chinatown,60,4  , 1  , 2  , 1 bath,Wifi , Self check-in , Pets allowed , Air conditioning,https://airbnb.com/rooms/45802196?previous_page_section_name=1000&federated_search_id=3e613314-bdcb-4ce8-944c-0e2a4c2c79c4
